origen_id,origen_zona,destino_id,destino_zona,distancia_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min,ingreso_viaje_usd
4,Alphabet City,4,Alphabet City,0.0,0.0,0.0,0.0,5.5
4,Alphabet City,12,Battery Park,5.581,13.4,16.7,11.2,26.15
4,Alphabet City,13,Battery Park City,4.627,11.1,13.9,9.3,22.62
4,Alphabet City,24,Bloomingdale,9.562,22.9,28.7,19.1,40.88
4,Alphabet City,41,Central Harlem,11.032,26.5,33.1,22.1,46.32
4,Alphabet City,42,Central Harlem North,13.457,32.3,40.4,26.9,55.29
4,Alphabet City,43,Central Park,7.417,17.8,22.3,14.8,32.94
4,Alphabet City,45,Chinatown,3.049,7.3,9.1,6.1,16.78
4,Alphabet City,48,Clinton East,5.398,13.0,16.2,10.8,25.47
4,Alphabet City,50,Clinton West,6.287,15.1,18.9,12.6,28.76
4,Alphabet City,68,East Chelsea,4.686,11.2,14.1,9.4,22.84
4,Alphabet City,74,East Harlem North,11.876,28.5,35.6,23.8,49.44
4,Alphabet City,75,East Harlem South,9.935,23.8,29.8,19.9,42.26
4,Alphabet City,79,East Village,1.183,2.8,3.5,2.4,9.88
4,Alphabet City,87,Financial District North,4.467,10.7,13.4,8.9,22.03
4,Alphabet City,88,Financial District South,5.189,12.5,15.6,10.4,24.7
4,Alphabet City,90,Flatiron,3.75,9.0,11.2,7.5,19.37
4,Alphabet City,100,Garment District,4.328,10.4,13.0,8.7,21.51
4,Alphabet City,103,Governor's Island/Ellis Island/Liberty Island,9.556,22.9,28.7,19.1,40.86
4,Alphabet City,107,Gramercy,2.059,4.9,6.2,4.1,13.12
4,Alphabet City,113,Greenwich Village North,2.438,5.9,7.3,4.9,14.52
4,Alphabet City,114,Greenwich Village South,2.219,5.3,6.7,4.4,13.71
4,Alphabet City,116,Hamilton Heights,13.756,33.0,41.3,27.5,56.4
4,Alphabet City,120,Highbridge Park,17.476,41.9,52.4,35.0,70.16
4,Alphabet City,125,Hudson Sq,2.833,6.8,8.5,5.7,15.98
4,Alphabet City,127,Inwood,20.532,49.3,61.6,41.1,81.47
4,Alphabet City,128,Inwood Hill Park,20.792,49.9,62.4,41.6,82.43
4,Alphabet City,137,Kips Bay,1.871,4.5,5.6,3.7,12.42
4,Alphabet City,140,Lenox Hill East,6.477,15.5,19.4,13.0,29.46
4,Alphabet City,141,Lenox Hill West,6.219,14.9,18.7,12.4,28.51
4,Alphabet City,142,Lincoln Square East,5.982,14.4,17.9,12.0,27.63
4,Alphabet City,143,Lincoln Square West,6.754,16.2,20.3,13.5,30.49
4,Alphabet City,144,Little Italy/NoLiTa,2.019,4.8,6.1,4.0,12.97
4,Alphabet City,148,Lower East Side,1.718,4.1,5.2,3.4,11.86
4,Alphabet City,151,Manhattan Valley,8.893,21.3,26.7,17.8,38.4
4,Alphabet City,152,Manhattanville,12.316,29.6,36.9,24.6,51.07
4,Alphabet City,153,Marble Hill,22.379,53.7,67.1,44.8,88.3
4,Alphabet City,158,Meatpacking/West Village West,3.939,9.5,11.8,7.9,20.08
4,Alphabet City,161,Midtown Center,3.91,9.4,11.7,7.8,19.97
